FJ3270	Sesamoid bone of left foot
FJ3271	Left medial cuneiform bone
FJ3272	Left nasal bone
FJ3273	Left palatine bone
FJ3274	Left parietal bone
FJ3275	Left patella
FJ3276	Left pisiform
FJ3277	Left radius
FJ3278	Left scaphoid
FJ3279	Left scapula
FJ3280	Left talus
FJ3281	Left temporal bone
FJ3282	Left tibia
FJ3283	Left trapezium
FJ3284	Left trapezoid
FJ3285	Left triquetral
FJ3286	Left ulna
FJ3287	Left zygomatic bone
FJ3288	Left hip bone
FJ3289	Mandible
FJ3290	Manubrium
FJ3291	Middle phalanx of left ring finger
FJ3292	Middle phalanx of right ring finger
FJ3293	Middle phalanx of left second toe
FJ3294	Middle phalanx of left third toe
FJ3295	Middle phalanx of left fourth toe
FJ3296	Middle phalanx of left index finger
FJ3297	Middle phalanx of left little finger
FJ3298	Middle phalanx of left little toe
FJ3299	Middle phalanx of left middle finger
FJ3300	Middle phalanx of right second toe
FJ3301	Middle phalanx of right third toe
FJ3302	Middle phalanx of right fourth toe
FJ3303	Middle phalanx of right index finger
FJ3304	Middle phalanx of right little finger
FJ3305	Middle phalanx of right little toe
FJ3306	Middle phalanx of right middle finger
FJ3307	Navicular bone of left foot
FJ3308	Navicular bone of right foot
FJ3309	Occipital bone
FJ3310	Proximal phalanx of right big toe
FJ3311	Proximal phalanx of left third toe
FJ3312	Proximal phalanx of left fourth toe
FJ3313	Proximal phalanx of left index finger
FJ3314	Proximal phalanx of left little finger
FJ3315	Proximal phalanx of left little toe
FJ3316	Proximal phalanx of left middle finger
FJ3317	Proximal phalanx of left ring finger
FJ3318	Proximal phalanx of left thumb
FJ3319	Proximal phalanx of right second toe
FJ3320	Proximal phalanx of right third toe
FJ3321	Proximal phalanx of right fourth toe
FJ3322	Proximal phalanx of right index finger
FJ3323	Proximal phalanx of right little finger
FJ3324	Proximal phalanx of right little toe
FJ3325	Proximal phalanx of right middle finger
FJ3326	Proximal phalanx of right ring finger
FJ3327	Proximal phalanx of right thumb
FJ3328	Proximal phalanx of left second toe
FJ3329	Proximal phalanx of left big toe
FJ3330	Right tenth rib
FJ3331	Right eleventh rib
FJ3332	Right twelfth rib
FJ3333	Right first costal cartilage
FJ3334	Right first rib
FJ3335	Right second costal cartilage
FJ3336	Right second rib
FJ3337	Right third costal cartilage
FJ3338	Right third rib
FJ3339	Right fourth costal cartilage
FJ3340	Right fourth rib
FJ3341	Right fifth costal cartilage
FJ3342	Right fifth rib
FJ3343	Right sixth costal cartilage
FJ3344	Right sixth rib
FJ3345	Right seventh costal cartilage
FJ3346	Right seventh rib
FJ3347	Right eighth rib
FJ3348	Right ninth rib
FJ3349	Right radius
FJ3350	Right first metacarpal bone
FJ3351	Right first metatarsal bone
FJ3352	Right second metacarpal bone
FJ3353	Right second metatarsal bone
FJ3354	Right third metacarpal bone
FJ3355	Right third metatarsal bone
FJ3356	Right fourth metacarpal bone
FJ3357	Right fourth metatarsal bone
FJ3358	Right fifth metacarpal bone
FJ3359	Right fifth metatarsal bone
FJ3360	Right calcaneus
FJ3361	Right capitate
FJ3362	Right clavicle
FJ3364	Right cuboid bone
FJ3365	Right femur
FJ3366	Right fibula
FJ3367	Right hamate
FJ3368	Right humerus
FJ3370	Right intermediate cuneiform bone
FJ3372	Sesamoid bone of right foot
FJ3373	Right lateral cuneiform bone
FJ3374	Right lunate
FJ3375	Right maxilla
FJ3376	Sesamoid bone of right foot
FJ3377	Right medial cuneiform bone
FJ3378	Right nasal bone
FJ3379	Right palatine bone
FJ3380	Right parietal bone
FJ3381	Right patella
FJ3382	Right pisiform
FJ3383	Right scaphoid
FJ3384	Right scapula
FJ3385	Right talus
FJ3386	Right temporal bone
FJ3387	Right tibia
FJ3388	Right trapezium
FJ3389	Right trapezoid
FJ3390	Right triquetral
FJ3391	Right ulna
FJ3392	Right zygomatic bone
FJ3393	Sacrum
FJ3394	Sphenoid bone
FJ3395	Vomer
