FJ2730	Anterior cardiac vein
FJ2731	Small cardiac vein
FJ2818	Hepatovenous segment II
FJ2819	Hepatovenous segment III
FJ2820	Hepatovenous segment IV
FJ2821	Hepatovenous segment V
FJ2822	Hepatovenous segment VI
FJ2823	Hepatovenous segment VIII
FJ2824	Hepatovenous segment VIII
FJ2925	Left superior pulmonary vein
FJ2926	Left posterior segmental vein
FJ2927	Left posterior segmental vein
FJ2928	Left posterior segmental vein
FJ2929	Left posterior segmental vein
FJ2930	Left anterior segmental vein
FJ2931	Left anterior segmental vein
FJ2932	Left anterior segmental vein
FJ2933	Left superior pulmonary vein
FJ2934	Inferior lingular vein
FJ2935	Inferior lingular vein
FJ2936	Left apical segmental vein
FJ2937	Superior lingular vein
FJ2938	Superior lingular vein
FJ2939	Left posterior segmental vein
FJ2940	Left posterior segmental vein
FJ2941	Left posterior segmental vein
FJ2942	Left posterior segmental vein
FJ2943	Left posterior segmental vein
FJ2944	Left inferior pulmonary vein
FJ2945	Left posterior basal segmental vein
FJ2946	Left posterior basal segmental vein
FJ2947	Left apical segmental vein
FJ2948	Left posterior basal segmental vein
FJ2949	Left posterior basal segmental vein
FJ2950	Left inferior pulmonary vein
FJ2951	Left lateral basal segmental vein
FJ2952	Left lateral basal segmental vein
FJ2953	Left lateral basal segmental vein
FJ2954	Left lateral basal segmental vein
FJ2955	Left inferior pulmonary vein
FJ2956	Left anterior basal segmental vein
FJ2957	Left anterior basal segmental vein
FJ2958	Left apical segmental vein
FJ2959	Left anterior basal segmental vein
FJ2960	Left anterior basal segmental vein
FJ2961	Left apical segmental vein
FJ2962	Left apical segmental vein
FJ2963	Left apical segmental vein
FJ2964	Left apical segmental vein
FJ2965	Left posterior segmental vein
FJ3020	Right superior pulmonary vein
FJ3021	Inferior part of right anterior segmental vein
FJ3022	Right posterior segmental vein
FJ3023	Right posterior segmental vein
FJ3024	Right posterior segmental vein
FJ3025	Right posterior segmental vein
FJ3026	Right posterior segmental vein
FJ3027	Superior part of right anterior segmental vein
FJ3028	Right anterior segmental vein
FJ3029	Right anterior segmental vein
FJ3030	Superior part of medial segmental vein
FJ3031	Trunk of right apical segmental vein
FJ3032	Inferior part of medial segmental vein
FJ3033	Inferior part of medial segmental vein
FJ3034	Anterior part of lateral segmental vein
FJ3035	Anterior part of lateral segmental vein
FJ3036	Anterior part of lateral segmental vein
FJ3037	Posterior part of lateral segmental vein
FJ3038	Posterior part of lateral segmental vein
FJ3039	Posterior part of lateral segmental vein
FJ3040	Right inferior pulmonary vein
FJ3041	Right posterior basal segmental vein
FJ3042	Anterior part of right apical segmental vein
FJ3043	Right posterior basal segmental vein
FJ3044	Right posterior basal segmental vein
FJ3045	Right posterior basal segmental vein
FJ3046	Right posterior basal segmental vein
FJ3047	Right posterior basal segmental vein
FJ3048	Right posterior basal segmental vein
FJ3049	Right anterior basal segmental vein
FJ3050	Right superior segmental vein
FJ3051	Right superior segmental vein
FJ3052	Right superior segmental vein
FJ3053	Anterior part of right apical segmental vein
FJ3054	Right medial basal segmental vein
FJ3055	Right medial basal segmental vein
FJ3056	Right anterior basal segmental vein
FJ3057	Right posterior basal segmental vein
FJ3058	Right posterior basal segmental vein
FJ3059	Right lateral basal segmental vein
FJ3060	Right lateral basal segmental vein
FJ3061	Right lateral basal segmental vein
FJ3062	Right lateral basal segmental vein
FJ3063	Right superior segmental vein
FJ3064	Apical part of right apical segmental vein
FJ3065	Right superior segmental vein
FJ3066	Right superior segmental vein
FJ3067	Apical part of right apical segmental vein
FJ3068	Apical part of right apical segmental vein
FJ3069	Right posterior segmental vein
FJ3070	Right posterior segmental vein
FJ3073	Anterior superior segmental branch of right portal vein
FJ3074	Anterior inferior segmental branch of right portal vein
FJ3082	Pre-hepatic portal vein
FJ3083	Anterior inferior segmental tributary of middle hepatic vein
FJ3084	Medial inferior segmental tributary of middle hepatic vein
FJ3085	Medial inferior segmental tributary of middle hepatic vein
FJ3086	Anterior inferior segmental tributary of middle hepatic vein
FJ3097	Lateral inferior segmental tributary of left hepatic vein
FJ3098	Lateral superior segmental tributary of left hepatic vein
FJ3099	Lateral inferior segmental tributary of left hepatic vein
FJ3100	Lateral inferior segmental tributary of left hepatic vein
FJ3101	Medial superior segmental tributary of left hepatic vein
FJ3102	Trunk of left portal vein
FJ3111	Posterior inferior segmental branch of right portal vein
FJ3112	Posterior superior segmental branch of right portal vein
FJ3113	Posterior superior segmental branch of right portal vein
FJ3118	Posterior inferior segmental tributary of right hepatic vein
FJ3119	Posterior superior segmental tributary of right hepatic vein
FJ3120	Posterior inferior segmental tributary of right hepatic vein
FJ3121	Anterior superior segmental tributary of right hepatic vein
FJ3122	Trunk of right portal vein
FJ3124	Caudate lobe branch of left portal vein
FJ3125	Lateral inferior segmental branch of left portal vein
FJ3126	Lateral superior segmental branch of left portal vein
FJ3127	Medial superior segmental branch of left portal vein
FJ3128	Medial inferior segmental branch of left portal vein
FJ3400	Left colic vein
FJ3415	Ileocolic vein
FJ3416	Azygos vein
FJ3426	Left superficial dorsal vein of penis
FJ3429	Left colic vein
FJ3434	Hemiazygos vein
FJ3438	Ileal vein
FJ3440	Ileocolic vein
FJ3441	Inferior vena cava
FJ3443	Inferior mesenteric vein
FJ3447	Inferior phrenic vein
FJ3448	Inferior phrenic vein
FJ3449	Inferior phrenic vein
FJ3450	Inferior phrenic vein
FJ3451	Inferior phrenic vein
FJ3452	Inferior phrenic vein
FJ3465	Left common iliac vein
FJ3469	Left internal iliac vein
FJ3470	Left internal iliac vein
FJ3471	Left internal iliac vein
FJ3477	Left renal vein
FJ3478	Left renal vein
FJ3480	Left suprarenal vein
FJ3482	Left brachiocephalic vein
FJ3484	Left external iliac vein
FJ3485	Left internal jugular vein
FJ3486	Left subclavian vein
FJ3493	Left ascending lumbar vein
FJ3495	Left colic vein
FJ3500	Left gastric vein
FJ3502	Left gastroepiploic vein
FJ3510	Left iliolumbar vein
FJ3512	Left inferior epigastric vein
FJ3513	Left inferior gluteal vein
FJ3522	Left external iliac vein
FJ3523	Left external iliac vein
FJ3524	Left external iliac vein
FJ3525	Left internal pudendal vein
FJ3526	Left lateral sacral vein
FJ3527	Left obturator vein
FJ3530	Left superior epigastric vein
FJ3531	Left superior gluteal vein
FJ3533	Left testicular vein
FJ3541	Median sacral vein
FJ3543	Middle colic vein
FJ3545	Pancreaticoduodenal vein
FJ3566	Right common iliac vein
FJ3568	Right external iliac vein
FJ3570	Right internal iliac vein
FJ3571	Right internal iliac vein
FJ3572	Right internal iliac vein
FJ3577	Right renal vein
FJ3578	Right renal vein
FJ3580	Right suprarenal vein
FJ3583	Right brachiocephalic vein
FJ3585	Right internal jugular vein
FJ3587	Right subclavian vein
FJ3589	Right ascending lumbar vein
FJ3591	Right colic vein
FJ3595	Right gastric vein
FJ3597	Right gastroepiploic vein
FJ3603	Right iliolumbar vein
FJ3605	Right inferior epigastric vein
FJ3606	Right inferior gluteal vein
FJ3607	Right internal iliac vein
FJ3608	Right internal iliac vein
FJ3609	Right internal iliac vein
FJ3610	Right internal pudendal vein
FJ3611	Right lateral sacral vein
FJ3612	Right obturator vein
FJ3615	Right superior epigastric vein
FJ3616	Right superior gluteal vein
FJ3618	Right testicular vein
FJ3631	Lumbar vein
FJ3635	Lumbar vein
FJ3637	Right superficial dorsal vein of penis
FJ3639	Sigmoid vein
FJ3641	Splenic vein
FJ3645	Superior vena cava
FJ3646	Pancreaticoduodenal vein
FJ3647	Superior mesenteric vein
FJ3648	Superior phrenic vein
FJ3649	Superior phrenic vein
FJ3650	Superior phrenic vein
FJ3651	Superior phrenic vein
FJ3652	Superior phrenic vein
FJ3653	Superior phrenic vein
FJ3654	Superior phrenic vein
FJ3655	Pancreaticoduodenal vein
FJ3657	Superior rectal vein
FJ3658	Ascending lumbar vein
FJ3659	Inferior vena cava
